split,class,original_path,segmented_path,foreground_ratio
test,CNV,/kaggle/input/oct2017/OCT2017/test/CNV/CNV-3241692-1.jpeg,/kaggle/working/segmented_images/test/CNV/CNV-3241692-1.jpeg,0.0401985012755102
train,CNV,/kaggle/input/oct2017/OCT2017/train/CNV/CNV-2724152-101.jpeg,/kaggle/working/segmented_images/train/CNV/CNV-2724152-101.jpeg,0.21179448341836735
train,DRUSEN,/kaggle/input/oct2017/OCT2017/train/DRUSEN/DRUSEN-1146923-27.jpeg,/kaggle/working/segmented_images/train/DRUSEN/DRUSEN-1146923-27.jpeg,0.06146364795918367
train,CNV,/kaggle/input/oct2017/OCT2017/train/CNV/CNV-732516-149.jpeg,/kaggle/working/segmented_images/train/CNV/CNV-732516-149.jpeg,0.25589923469387754
train,CNV,/kaggle/input/oct2017/OCT2017/train/CNV/CNV-1188386-446.jpeg,/kaggle/working/segmented_images/train/CNV/CNV-1188386-446.jpeg,0.06491151147959184
train,CNV,/kaggle/input/oct2017/OCT2017/train/CNV/CNV-2034494-108.jpeg,/kaggle/working/segmented_images/train/CNV/CNV-2034494-108.jpeg,0.08456234056122448
train,CNV,/kaggle/input/oct2017/OCT2017/train/CNV/CNV-1699976-203.jpeg,/kaggle/working/segmented_images/train/CNV/CNV-1699976-203.jpeg,0.1980030293367347
train,CNV,/kaggle/input/oct2017/OCT2017/train/CNV/CNV-1781140-110.jpeg,/kaggle/working/segmented_images/train/CNV/CNV-1781140-110.jpeg,0.02893813775510204
train,NORMAL,/kaggle/input/oct2017/OCT2017/train/NORMAL/NORMAL-1926817-9.jpeg,/kaggle/working/segmented_images/train/NORMAL/NORMAL-1926817-9.jpeg,0.10349569515306123
train,CNV,/kaggle/input/oct2017/OCT2017/train/CNV/CNV-9439639-121.jpeg,/kaggle/working/segmented_images/train/CNV/CNV-9439639-121.jpeg,0.24870455994897958
train,DME,/kaggle/input/oct2017/OCT2017/train/DME/DME-6798210-53.jpeg,/kaggle/working/segmented_images/train/DME/DME-6798210-53.jpeg,0.21918845663265307
